"date","description","original_description","amount","transaction_type","category","account_name","labels","notes"
"6/11/2021","Prime Video*2X9Z58PP2 888-802-30 80 WA 06/10","Prime Video*2X9Z58PP2 888-802-30","4.40","debit","Entertainment","PREMIER PLUS CKG","",""
"6/10/2021","CHURCHKEY PUB EDMONDS WA 06/10","CHURCHKEY PUB EDMONDS WA","45.91","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"6/09/2021","Trade","TRADE COFFEE CO DRINKTRADE.CO MA","25.00","debit","Coffee Shops","PREMIER PLUS CKG","",""
"6/09/2021","TEKSYSTEMS, INC. DIR DEP PPD ID: 5522010575","TEKSYSTEMS, INC. DIR DEP","1069.62","credit","Paycheck","PREMIER PLUS CKG","",""
"6/09/2021","ONLYFANS 888-6880458 FL","ONLYFANS                 888-6880458  FL","4.37","debit","Entertainment","Alaska Airlines Visa Signature","",""
"6/08/2021","TWP*SUB2873298 WAPO.COM DC 06/07","TWP*SUB2873298 WAPO.COM DC","9.99","debit","Subscription_Service","PREMIER PLUS CKG","",""
"6/07/2021","BK OF AMER VISA ONLINE payment CKF9 58241099POS WEB ID: 9500000000","BK OF AMER VISA  ONLINE PMT CKF9","27.57","debit","Credit Card Payment","PREMIER PLUS CKG","",""
"6/07/2021","PERSHING BROKERAGE PPD ID: 1132741729","PERSHING         BROKERAGE","4000.00","debit","Financial Advisor","PREMIER PLUS CKG","",""
"6/07/2021","XHALE GAL 127 N 85TH S SEATTLE W A 06/07","XHALE GAL 127 N 85TH S SEATTLE W","19.83","debit","Entertainment","PREMIER PLUS CKG","",""
"6/07/2021","Google","GOOGLE*GOOGLE FI SUPPORT.GOOGL C","55.87","debit","Mobile Phone","PREMIER PLUS CKG","",""
"6/07/2021","BA ELECTRONIC PAYMENT","BA ELECTRONIC PAYMENT","27.57","credit","Credit Card Payment","Alaska Airlines Visa Signature","",""
"6/04/2021","Title Boxing Club","TITLE BOXING  CLUB SANTA MONICA","150.00","debit","Gym","PREMIER PLUS CKG","","3 Personal Training Sessions"
"6/04/2021","Lenny's Produce","LENNYS PRODUCE SEATTLE WA","12.49","debit","Groceries","PREMIER PLUS CKG","",""
"6/04/2021","COINBASE.COM 8889087930 W4MZ PWNF80B7 WEB ID: 1455293997","COINBASE.COM     8889087930 W4MZ","1015.00","debit","Financial Advisor","PREMIER PLUS CKG","","Ethereum"
"6/04/2021","Flying J","FLYING BIKE COOPERATIVE SEATTLE","120.76","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"6/03/2021","GREENWOOD TRUE VALUE HA SEATTLE WA 06/02","GREENWOOD TRUE VALUE HA SEATTLE","10.48","debit","Shopping","PREMIER PLUS CKG","",""
"6/03/2021","THE CELLAR HOMEBREW SEATTLE WA 06/03","THE CELLAR HOMEBREW SEATTLE WA","9.86","debit","Shopping","PREMIER PLUS CKG","",""
"6/02/2021","Orig Name Vimo","ORIG CO NAME:VIMO INC","897.00","credit","Paycheck","BUS COMPLETE CHK","",""
"6/02/2021","TEKSYSTEMS, INC. DIR DEP PPD ID: 5522010575","TEKSYSTEMS, INC. DIR DEP","1303.61","credit","Paycheck","PREMIER PLUS CKG","",""
"6/02/2021","YouTubePremiu 855-836-39 87 CA 06/01","GOOGLE *YouTubePremiu 855-836-39","13.22","debit","Subscription_Service","PREMIER PLUS CKG","",""
"6/02/2021","PERSHING BROKERAGE PPD ID: 1132741729","PERSHING         BROKERAGE","500.00","debit","Financial Advisor","PREMIER PLUS CKG","",""
"6/02/2021","THE CELLAR HOMEBREW SEATTLE WA 06/02","THE CELLAR HOMEBREW SEATTLE WA","29.73","debit","Shopping","PREMIER PLUS CKG","","C02"
"6/01/2021","Chevron","CHEVRON/SVYN INC SEATTLE WA","26.44","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"6/01/2021","T-Mobile","TMOBILE PARK CONCESSIO SEATTLE W","14.33","debit","Entertainment","PREMIER PLUS CKG","",""
"6/01/2021","T-Mobile","TMOBILE PARK CONCESSIO SEATTLE W","9.70","debit","Entertainment","PREMIER PLUS CKG","",""
"6/01/2021","T-Mobile","TMOBILE PARK CONCESSIO SEATTLE W","11.47","debit","Entertainment","PREMIER PLUS CKG","",""
"6/01/2021","Chevron","CHEVRON/SVYN INC SEATTLE WA","8.82","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"6/01/2021","CROWN HILL GROC SEATTLE WA 06/01","CROWN HILL GROC SEATTLE WA","134.50","debit","Groceries","PREMIER PLUS CKG","",""
"6/01/2021","BALLARD COFFEE WORK Seattle WA 05/30","SQ *BALLARD COFFEE WORK Seattle","8.76","debit","Coffee Shops","PREMIER PLUS CKG","",""
"6/01/2021","Amazon","AMZN Mktp US*2X0GN1T Amzn.com/bi","42.90","debit","Shopping","PREMIER PLUS CKG","","CO2 regulator"
"6/01/2021","GREENWOOD LOCATION Seattle W A 05/28","SQ *GREENWOOD LOCATION Seattle W","13.22","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"6/01/2021","GREENWOOD LOCATION Seattle W A 05/29","SQ *GREENWOOD LOCATION Seattle W","15.20","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"6/01/2021","LIFEWISE HEALTH PLA 800-817-3056 WA 05/28","LIFEWISE HEALTH PLA 800-817-3056","35.42","debit","Health Insurance","BUS COMPLETE CHK","","6/1 Dental"
"5/28/2021","Title Boxing Club","TITLE BOXING  CLUB SANTA MONICA","159.00","debit","Gym","PREMIER PLUS CKG","",""
"5/27/2021","Flying J","FLYING BIKE COOPERATIVE SEATTLE","15.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/26/2021","SEATTLEUTILTIES WEB_PAY 2711 6764051121 WEB ID: 1916001275","SEATTLEUTILTIES  WEB_PAY    2711","137.67","debit","Utilities","PREMIER PLUS CKG","",""
"5/26/2021","TEKSYSTEMS, INC. DIR DEP PPD ID: 5522010575","TEKSYSTEMS, INC. DIR DEP","1330.62","credit","Paycheck","PREMIER PLUS CKG","",""
"5/26/2021","Bartell Drug","BARTELL DRUG 09 SEATTLE WA","19.83","debit","Groceries","PREMIER PLUS CKG","",""
"5/25/2021","Title Boxing Club","TITLE BOXING  CLUB SANTA MONICA","2.76","debit","Gym","PREMIER PLUS CKG","",""
"5/25/2021","CenturyLink","CenturyLink      SPEEDPAY","55.00","debit","Internet","PREMIER PLUS CKG","",""
"5/24/2021","ATM WITHDRAWAL 009856 05/228500 GREE","ATM WITHDRAWAL","40.00","debit","Entertainment","PREMIER PLUS CKG","",""
"5/24/2021","Geico","GEICO            PREM COLL","427.19","debit","Auto Insurance","PREMIER PLUS CKG","",""
"5/24/2021","7-Eleven","7-ELEVEN SEATTLE WA","14.32","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/24/2021","BREAKAWAY 812-941-4177 IN 05/22","BREAKAWAY 812-941-4177 IN","10.50","debit","Gifts & Donations","PREMIER PLUS CKG","",""
"5/24/2021","Bartell Drug","BARTELL DRUG 09 SEATTLE WA","9.91","debit","Groceries","PREMIER PLUS CKG","",""
"5/24/2021","TST* TOM DOUGLAS - SERI SEATTLE WA 05/23","TST* TOM DOUGLAS - SERI SEATTLE","14.43","debit","Restaurants","PREMIER PLUS CKG","",""
"5/24/2021","Youtube","GOOGLE *YouTube TV 855-836-3987","71.55","debit","Subscription_Service","PREMIER PLUS CKG","",""
"5/24/2021","Lucky","SQ *LUCKY DOG CLOTHING Seattle W","16.52","debit","Shopping","PREMIER PLUS CKG","","lucky dog shirt"
"5/24/2021","Assurant INS.PREM PPD ID: 9590676017","Assurant         INS.PREM","122.00","debit","Home Insurance","PREMIER PLUS CKG","",""
"5/24/2021","GREENWOOD LOCATION Seattle W A 05/23","SQ *GREENWOOD LOCATION Seattle W","13.22","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/24/2021","Herkimer Coffee","SQ *HERKIMER COFFEE - P Seattle","4.15","debit","Coffee Shops","PREMIER PLUS CKG","",""
"5/24/2021","Goodwill Industries","GOODWILL BALLARD - DIR SEATTLE W","23.10","debit","Shopping","PREMIER PLUS CKG","",""
"5/21/2021","Snapshots","SQ *SNAPSHOT BREWING Seattle WA","15.19","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/21/2021","GREENWOOD LOCATION Seattle W A 05/20","SQ *GREENWOOD LOCATION Seattle W","18.73","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/21/2021","Flying J","FLYING BIKE COOPERATIVE SEATTLE","15.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/21/2021","Flying J","FLYING BIKE COOPERATIVE SEATTLE","5.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/20/2021","Herkimer Coffee","SQ *HERKIMER COFFEE - P Seattle","5.40","debit","Coffee Shops","PREMIER PLUS CKG","",""
"5/19/2021","Tinder g.co/helppay# CA 05/18","GOOGLE *Tinder g.co/helppay# CA","16.52","debit","Subscription_Service","PREMIER PLUS CKG","","Tinder Premium"
"5/19/2021","TEKSYSTEMS, INC. DIR DEP PPD ID: 5522010575","TEKSYSTEMS, INC. DIR DEP","1393.60","credit","Paycheck","PREMIER PLUS CKG","",""
"5/18/2021","Fred Meyer","FRED-MEYE FRED MEYER 1 SEATTLE W","26.44","debit","Groceries","PREMIER PLUS CKG","",""
"5/18/2021","Orig Name Vimo","ORIG CO NAME:VIMO INC","1014.00","credit","Paycheck","BUS COMPLETE CHK","",""
"5/17/2021","Flying J","FLYING BIKE COOPERATIVE SEATTLE","17.00","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/17/2021","GREENWOOD LOCATION Seattle W A 05/14","SQ *GREENWOOD LOCATION Seattle W","20.14","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/17/2021","Prime Video*2R1VM7OO1 888-802-30 80 WA 05/15","Prime Video*2R1VM7OO1 888-802-30","3.30","debit","Entertainment","PREMIER PLUS CKG","",""
"5/17/2021","GREENWOOD LOCATION Seattle W A 05/16","SQ *GREENWOOD LOCATION Seattle W","14.32","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/17/2021","Netflix","NETFLIX.COM NETFLIX.COM CA","15.42","debit","Subscription_Service","PREMIER PLUS CKG","",""
"5/17/2021","Uwajimaya","UWAJIMAYA SEATTLE SEATTLE WA","35.48","debit","Groceries","PREMIER PLUS CKG","",""
"5/17/2021","MONTHLY SERVICE FEE","MONTHLY SERVICE FEE","25.00","debit","Bank Fee","PREMIER PLUS CKG","",""
"5/17/2021","INTEREST PAYMENT","INTEREST PAYMENT","0.11","credit","Interest Income","PREMIER PLUS CKG","",""
"5/17/2021","Online Transfer from CHK ...969 2 transaction#: 11742931399","Online Transfer from  CHK ...969","1575.00","credit","Transfer","PREMIER PLUS CKG","",""
"5/17/2021","Online Transfer to CHK ...4256 transaction#: 11742931399 05/17","Online Transfer to  CHK ...4256","1575.00","debit","Transfer","BUS COMPLETE CHK","",""
"5/14/2021","CHECK 243","CHECK","1525.00","debit","Mortgage & Rent","PREMIER PLUS CKG","",""
"5/13/2021","Online Transfer to CHK ...4256 transaction#: 11742929195 05/13","Online Transfer to  CHK ...4256","1575.00","debit","Transfer","BUS COMPLETE CHK","",""
"5/13/2021","Chevron","CHEVRON 0091209 SEATTLE WA","41.20","debit","Gas & Fuel","PREMIER PLUS CKG","",""
"5/13/2021","Online Transfer from CHK ...969 2 transaction#: 11742929195","Online Transfer from  CHK ...969","1575.00","credit","Transfer","PREMIER PLUS CKG","",""
"5/12/2021","Chevron","CHEVRON/SALMON SERVICE SEATTLE W","5.50","debit","Auto & Transport","PREMIER PLUS CKG","",""
"5/12/2021","TEKSYSTEMS, INC. DIR DEP PPD ID: 5522010575","TEKSYSTEMS, INC. DIR DEP","1393.61","credit","Paycheck","PREMIER PLUS CKG","",""
"5/12/2021","Trade","TRADE COFFEE CO DRINKTRADE.CO MA","25.00","debit","Coffee Shops","PREMIER PLUS CKG","",""
"5/11/2021","Flying J","FLYING BIKE COOPERATIVE SEATTLE","14.40","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/11/2021","TWP*SUB2873298 WAPO.COM DC 05/10","TWP*SUB2873298 WAPO.COM DC","9.99","debit","Subscription_Service","PREMIER PLUS CKG","",""
"5/11/2021","Fred Meyer","FRED-MEYE FRED MEYER 1 SEATTLE W","50.22","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/11/2021","CAROLINE?S BARBERSH Seattle WA 05/10","SQ *CAROLINE?S BARBERSH Seattle","50.09","debit","Hair","PREMIER PLUS CKG","",""
"5/11/2021","Amazon","AMZN Mktp US*2L1QY7S Amzn.com/bi","24.24","debit","Shopping","PREMIER PLUS CKG","","New external battery"
"5/11/2021","Fred Meyer","FRED-MEYER #0122 FRED SEATTLE WA","10.82","debit","Groceries","PREMIER PLUS CKG","",""
"5/11/2021","Online Transfer from CHK ...969 2 transaction#: 11742925941","Online Transfer from  CHK ...969","1575.00","credit","Transfer","PREMIER PLUS CKG","",""
"5/11/2021","ATM WITHDRAWAL 007826 05/118500 GREE","ATM WITHDRAWAL","60.00","debit","Entertainment","PREMIER PLUS CKG","",""
"5/11/2021","Lenny's Produce","LENNYS PRODUCE SEATTLE WA","22.62","debit","Groceries","PREMIER PLUS CKG","",""
"5/11/2021","DMV","WA STATE DOL     WA ST DMV  VS00","241.25","debit","Auto & Transport","PREMIER PLUS CKG","","Registration"
"5/11/2021","Orig Name Vimo","ORIG CO NAME:VIMO INC","819.00","credit","Paycheck","BUS COMPLETE CHK","",""
"5/11/2021","Online Transfer to CHK ...4256 transaction#: 11742925941 05/11","Online Transfer to  CHK ...4256","1575.00","debit","Transfer","BUS COMPLETE CHK","",""
"5/10/2021","Amazon","Amazon.com*VD5II2X23 Amzn.com/bi","74.79","debit","Shopping","PREMIER PLUS CKG","","dutch oven for mom"
"5/10/2021","Prime Video*2L9CL7AD0 888-802-30 80 WA 05/09","Prime Video*2L9CL7AD0 888-802-30","4.40","debit","Entertainment","PREMIER PLUS CKG","",""
"5/10/2021","GREENWOOD LOCATION Seattle W A 05/09","SQ *GREENWOOD LOCATION Seattle W","15.20","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/10/2021","GREENWOOD LOCATION Seattle W A 05/08","SQ *GREENWOOD LOCATION Seattle W","17.29","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/10/2021","Mike & Mikes Guitar Bar","MIKE & MIKES GUITAR BA SEATTLE W","489.51","debit","Shopping","PREMIER PLUS CKG","","Fix the D-35"
"5/10/2021","Online Transfer from CHK ...9692 transaction#: 11742922998","Online Transfer from CHK ...9692","1575.00","credit","Transfer","PREMIER PLUS CKG","",""
"5/10/2021","Flying J","FLYING BIKE COOPERATIVE SEATTLE","7.50","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/10/2021","Google","GOOGLE*GOOGLE FI SUPPORT.GOOGL C","65.28","debit","Mobile Phone","PREMIER PLUS CKG","",""
"5/10/2021","DIVA ESPRESSO - GREENWO SEATTLE WA 05/08","DIVA ESPRESSO - GREENWO SEATTLE","7.84","debit","Coffee Shops","PREMIER PLUS CKG","",""
"5/10/2021","Online Transfer to CHK ...4256 t ransaction#: 11742922998 05/10","Online Transfer to CHK ...4256 t","1575.00","debit","Transfer","BUS COMPLETE CHK","",""
"5/08/2021","ONLYFANS 8886880458 FL","ONLYFANS                 8886880458   FL","5.52","debit","Entertainment","Alaska Airlines Visa Signature","",""
"5/07/2021","ONLYFANS.COM 8886880458 IL","ONLYFANS.COM             8886880458   IL","22.05","debit","Entertainment","Alaska Airlines Visa Signature","",""
"5/07/2021","BK OF AMER VISA ONLINE payment CKF9 58241099POS WEB ID: 9500000000","BK OF AMER VISA  ONLINE PMT CKF9","10.41","debit","Credit Card Payment","PREMIER PLUS CKG","",""
"5/06/2021","BA ELECTRONIC PAYMENT","BA ELECTRONIC PAYMENT","10.41","credit","Credit Card Payment","Alaska Airlines Visa Signature","",""
"5/06/2021","Goodwill Industries","GOODWILL BALLARD - DIR SEATTLE W","10.00","debit","Shopping","PREMIER PLUS CKG","",""
"5/06/2021","Flying J","FLYING BIKE COOPERATIVE SEATTLE","14.40","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/05/2021","TEKSYSTEMS, INC. DIR DEP PPD ID: 5522010575","TEKSYSTEMS, INC. DIR DEP","1394.80","credit","Paycheck","PREMIER PLUS CKG","",""
"5/05/2021","Shell","SHELL SERVICE STATION SEATTLE WA","13.93","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/05/2021","Amazon","AMZN Mktp US*ES94064 Amzn.com/bi","35.27","debit","Shopping","PREMIER PLUS CKG","","Underwear"
"5/05/2021","GREENWOOD LOCATION Seattle W A 05/04","SQ *GREENWOOD LOCATION Seattle W","14.98","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/05/2021","Herkimer Coffee","SQ *HERKIMER COFFEE - P Seattle","4.80","debit","Coffee Shops","PREMIER PLUS CKG","",""
"5/04/2021","Amazon","Amazon.com*W09SR1013 Amzn.com/bi","26.34","debit","Shopping","PREMIER PLUS CKG","","Picture Frame"
"5/04/2021","Flying J","FLYING BIKE COOPERATIVE SEATTLE","15.60","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/04/2021","Amazon","AMZN Mktp US*8Z3GX70 Amzn.com/bi","23.20","debit","Shopping","PREMIER PLUS CKG","","Poster"
"5/04/2021","PERSHING BROKERAGE PPD ID: 1132741729","PERSHING         BROKERAGE","500.00","debit","Financial Advisor","PREMIER PLUS CKG","",""
"5/03/2021","GREENWOOD LOCATION Seattle W A 05/02","SQ *GREENWOOD LOCATION Seattle W","15.20","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/03/2021","Amazon","AMZN Mktp US*2L67D9N Amzn.com/bi","21.46","debit","Shopping","PREMIER PLUS CKG","","Shades & Spatula"
"5/03/2021","YouTubePremiu 855-836-39 87 CA 05/01","GOOGLE *YouTubePremiu 855-836-39","13.22","debit","Subscription_Service","PREMIER PLUS CKG","",""
"5/03/2021","PUSHKIN.FM PUSHKIN.FM NY 05/02","PUSHKIN.FM PUSHKIN.FM NY","14.99","debit","Entertainment","PREMIER PLUS CKG","","Bomber Mafia"
"5/03/2021","GREENWOOD LOCATION Seattle W A 04/30","SQ *GREENWOOD LOCATION Seattle W","16.47","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/03/2021","Flying J","FLYING BIKE COOPERATIVE SEATTLE","25.20","debit","Alcohol & Bars","PREMIER PLUS CKG","",""
"5/03/2021","CHEF KING LYNNWOOD WA 05/01","CHEF KING LYNNWOOD WA","20.43","debit","Restaurants","PREMIER PLUS CKG","",""
